x,y,Ind,Log_45_70,Log_70_90,Log_ap90,Log_av45,Log_inc,Log_soc,imputed
0,1,26,0,0.5,1.9,11.5,0,0,3
0,2,8,0,1,0.2,1.5,0,0,2
0,3,3,0,0.4,0.1,0.5,0,0,1
0,4,5,0,0.6,0.2,0.9,0,0,1
0,7,17,0.6,0.7,2,3.9,0,0,2
0,16,20,0,0.3,1,7.5,0,0,4
0,18,6,0,0,0.2,2.8,0,0,2
0,19,5,0,0,0.2,2.3,0,0,2
0,57,55,1.3,3.3,6.4,11.5,0,0,4
0,67,21,0,2.6,2.6,3.3,0,0,2
0,68,45,0,5.6,5.7,6.9,0,0,2
0,69,51,1.9,6.7,6.3,5.4,0,0,2
0,70,9,0.8,1.3,1,0.4,0,0,1
0,71,18,1.6,2.5,2.1,0.8,0,0,2
0,72,2,0,0.3,0.1,0.3,0,0,1
0,73,24,0.3,3.3,0.9,4.4,0,0,1
0,75,2,0,0.4,0,0.6,0,0,1
0,81,16,0,5.4,0.9,0.4,0,0,2
0,82,20,0.6,2,0.8,6,0,0,3
0,84,2,0,0.2,0.1,0.6,0,0,1
0,92,20,0,2.4,1.8,4.3,0.6,0,1
0,93,11,0,1.4,1.1,2.2,0.3,0,3
0,96,26,0,3,1,7,0,0,2
0,97,2,0.1,0,0.1,0.7,0,0,1
0,110,10,0,0.2,0.9,3.1,0,0,2
0,111,2,0,0,0.2,0.6,0,0,1
0,112,12,0,0,1.7,3.1,0,0,2
0,120,4,0,0,0.3,1.6,0,0,1
0,124,1,0,0,0.1,0.3,0,0,1
0,126,8,0,0,1.1,2.2,0,0,1
0,127,12,0.3,0.9,1.4,1.4,0,1.1,1
1,2,9,0,1.1,0.3,1.7,0,0,1
1,4,7,0,0.9,0.2,1.3,0,0,1
1,7,2,0.1,0.1,0.2,0.4,0,0,1
1,15,6,0,0,0.4,2.2,0,0,2
1,16,31,0,0.4,1.7,11.5,0,0,3
1,17,9,0,0,0.3,4.1,0,0,2
1,18,11,0,0,0.3,5.1,0,0,1
1,19,7,0,0,0.2,3.3,0,0,2
1,27,3,0,0.2,0,0.9,0,0,1
1,45,2,0,0,0.1,0.6,0,0,1
1,54,7,0.2,0.3,0.8,1.7,0,0,1
1,55,18,0.5,0.8,1.9,4.5,0,0,3
1,57,5,0.1,0.3,0.6,1,0,0,2
1,67,39,0,10.5,4.5,0.6,0,0,1
1,68,9,0,1.1,1.1,1.4,0,0,1
1,69,53.5,2.2,7.5,8,3.2,0,0,1
1,70,234.5,1.9,10.2,59.7,16.1,0,8,1
1,71,190.5,22.2,45.7,11,8.2,0,0,1
1,72,87.5,0.1,22.9,9.5,2.7,0,0,2
1,73,34,0.4,4.6,1.3,6.3,0,0,1
1,74,34,3,1.7,0.1,9.9,0,0,2
1,82,2,0,0.2,0.1,0.6,0,0,1
1,83,2,0,0.2,0.1,0.6,0,0,1
1,93,2,0,0.2,0.2,0.4,0.1,0,1
1,100,1,0,0,0.1,0.4,0,0,1
1,111,4,0,0.1,0.3,1.3,0,0,1
1,112,26,0,0,3.8,6.5,0,0,3
1,116,15,0,0.6,0.6,5.4,0,0,3
1,119,21,0,0,1.5,8.5,0,0,2
1,120,13,0,0,1,5.2,0,0,3
1,123,26,1.2,0,0.4,8.4,0,0,1
1,124,35,1,0,2.1,10.7,0,0,4
1,126,39,0,0,5.6,10.5,0,0,2
1,127,41,0.9,3.2,5,4.8,0,3.8,4
2,0,73,0.3,4.8,16.8,11.9,0,0,3
2,1,58.5,0.1,3.2,5.8,15.5,0,0,2
2,4,17,0.4,0.9,2.1,3.5,0,0,3
2,5,2,0.1,0.1,0.1,0.7,0,0,1
2,7,7,0.3,0.3,0.8,1.6,0,0,1
2,8,4,0,0.5,0.2,0.8,0,0,1
2,14,1,0,0,0,0.4,0,0,1
2,15,2,0,0,0.1,0.8,0,0,1
2,17,6,0.1,0.2,0.4,1.8,0,0,2
2,18,5,0.1,0.2,0.3,1.4,0,0,2
2,19,14,0,0.2,0.7,5.4,0,0,3
2,27,8,0,0.5,0.1,2.5,0,0,3
2,28,10.5,0.1,0.7,0.6,3,0,0.3,3
2,29,10,0,0.6,0,3.2,0,0,2
2,30,7,0,0.4,0,2.3,0,0,1
2,31,2,0,0.1,0,0.7,0,0,1
2,44,2,0,0,0.1,0.6,0,0,1
2,45,26,0,0.5,1.4,7.4,0,0,1
2,53,1,0,0,0.1,0.3,0,0,1
2,54,25,0.6,1.2,2.1,6.9,0,0,3
2,55,45.5,1.5,1.1,5,13.5,0,0,2
2,56,38.5,0.2,0.4,7.5,6.3,0,0,2
2,57,20,0.5,1.1,2.4,4.1,0,0,2
2,69,4,0.3,0.6,0.5,0.2,0,0,1
2,70,95,4,3,23,0,0,0,0
2,72,80,0,14,16,0,0,0,0
2,74,219.5,0.1,93.3,0.2,6.5,0,0,2
2,75,17,2,3.2,1.1,2.5,0,0,2
2,76,2,0.3,0.4,0.1,0.2,0,0,1
2,82,3,0.1,0.3,0.1,0.9,0,0,1
2,88,1,0,0.1,0.1,0.3,0,0,1
2,101,4,0.1,0.1,0.1,1.5,0,0,1
2,102,10,0.1,0.3,0.5,3.4,0,0,2
2,112,2,0,0,0.3,0.5,0,0,1
2,113,4,0,0,0.6,1,0,0,1
2,114,37,0.7,1.7,3.5,8.4,0,0,3
2,115,43,0.2,0.3,0.5,16.7,0,0,1
2,116,12,0,0.5,0.6,4.1,0,0,2
2,118,5,0,0.1,0.6,1.6,0,0,1
2,119,18,0,0.4,2.2,5.7,0,0,3
2,120,4,0,0,0.3,1.6,0,0,2
2,123,6,0.3,0,0.1,1.9,0,0,1
2,124,12,0.5,0,0.4,3.7,0,0,2
2,127,52.5,2,2.8,5,8.9,0,3.5,3
3,0,24,0.2,2.2,2.7,3.6,0,0,3
3,1,16,0.2,1.4,1.8,2.4,0,0,1
3,2,22,0.3,1.2,3.2,3.5,0,0,2
3,3,7,0.1,0.4,1,1.1,0,0,2
3,4,4,0.1,0.2,0.6,0.6,0,0,1
3,6,11.5,0.4,0.5,0.6,4.4,0,0,3
3,7,27,0,3.3,1.6,5.4,0,0,3
3,8,1,0,0.1,0.1,0.2,0,0,1
3,15,2,0,0,0.1,0.8,0,0,1
3,16,3,0,0,0.1,1.2,0,0,2
3,17,7,0,0.3,0.5,1.7,0,0,2
3,18,15,0.3,0.6,1.2,3.5,0,0,2
3,19,23,0.2,0.9,1.8,5.5,0,0,2
3,27,49.5,0.5,3.6,4.6,15,0,1.1,2
3,35,5,0,0.4,0.5,1.2,0,0,2
3,43,3,0,0,0.2,0.9,0,0,2
3,44,20,0,0.3,1.1,5.8,0,0,3
3,55,10,0.2,0.6,0.3,3.2,0,0,3
3,56,81.5,2.5,6,3,22,0,0,3
3,57,6,0.1,0.3,0.7,1.3,0,0,1
3,73,5,0,1,0,1.4,0,0,1
3,74,153,23.7,41.5,12.9,5.7,0,0,1
3,75,184.5,9.8,70.7,1,10.8,0,0,2
3,78,117.5,0,19,29,0,0,27,0
3,79,1,0,0.4,0,0,0,0.2,1
3,80,4,0,1.4,0.2,0.1,0,0,1
3,95,8,0,0.4,0.4,1.9,0,0,1
3,96,2,0,0.1,0.1,0.5,0,0,1
3,101,1,0,0,0.1,0.4,0,0,1
3,103,25.5,0.2,1,1.1,8.6,0,0,3
3,114,53,2.2,11.1,3.7,5,0,0,3
3,115,4,0,0.2,0.4,1,0,0,2
3,118,11,0,0.3,1.3,3.4,0,0,2
3,119,7.5,0,0.2,0.9,2.3,0,0,2
3,126,1,0.1,0,0,0.3,0,0,1
3,127,35,2.2,0.6,1.8,9,0,0.9,3
4,1,1,0,0.1,0.1,0.2,0,0,1
4,2,9,0.1,0.5,1.3,1.5,0,0,1
4,3,20,0.3,1.1,2.9,3.2,0,0,2
4,4,1,0,0,0.1,0.4,0,0,1
4,5,5,0.2,0.2,0.2,2,0,0,1
4,17,10,0.1,0.5,0.8,2.3,0,0,3
4,18,4,0.1,0.2,0.3,0.9,0,0,1
4,19,15,0.1,0.2,0.6,6,0,0,2
4,20,2,0,0,0.1,0.9,0,0,1
4,27,42,1,3.1,4.5,10.7,0,2,4
4,28,11,0.3,0.7,1.2,2.8,0,0.5,2
4,35,4,0,0.3,0.4,1,0,0,1
4,45,2,0,0,0.1,0.6,0,0,1
4,46,1,0,0,0.1,0.3,0,0,1
4,53,9,0.2,0.4,1,2.2,0,0,1
4,54,2,0.1,0.1,0.2,0.5,0,0,1
4,70,4,0,0.5,0.5,0.6,0,0,1
4,73,1,0,0.2,0,0.3,0,0,1
4,75,160,77,5.8,6.1,2.9,0,51,1
4,76,53,27.3,3.9,0.7,2.3,0,8,1
4,77,1,0,0.4,0,0,0,0.2,1
4,78,327.5,0,137.3,17,1,0,81.5,2
4,79,763,107,255,7,0,0,317,0
4,80,194,0,81.3,0.9,0.5,0,6,1
