x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
50,28,70,0,2,2,1,9,1,19,22,3,7,4,2684341.7,0
50,29,63,0,3,3,5,14,0,16,10,0,2,10,2407829.5,0
50,30,157.5,4.9,8.9,6,21.9,23.8,1,41.8,28.8,3.4,9,8,4990156.2,3
50,31,249.5,8.1,28.4,8.2,25.9,44.7,4.2,50.1,44.6,6.7,18.4,10.2,6987780.4,1
50,32,139.5,4,14,4.5,22,20,4,17,27,17,2,8,3985397.6,0
51,27,20,0,3.7,0,0.7,4.8,0,2.6,4.5,0.7,1.9,1.1,751815.4,1
51,28,363,6,34.8,7,25.3,73.2,3.5,55.4,77.5,15.3,41.1,23.9,1.29241009E7,1
51,29,639,29,50.6,42.1,127.1,128.2,12.5,90.2,72.2,44,26.1,17,1.46848502E7,1
51,30,635,25,64,38,85,141,14,93,82,34,32,27,1.61458961E7,0
51,31,731,27,42.5,34,88,137,11.5,123,161,46,35,26,2.01759947E7,0
51,32,589,28,48,17,73,117,9,87,121,27,43,19,1.57190114E7,0
51,33,144,4.6,13.8,3.2,22.2,32.5,2.5,20.2,18,9.9,8,9.1,3105285.1,2
52,27,187.5,1.5,11.2,4.2,15.3,18.4,1,39.4,66.3,5.1,15.1,10,6439023.5,1
52,28,555,18,55.5,32,57,129,13.5,70,83,33,36,28,1.61622494E7,0
52,29,601,20,45,23.5,94,122,13,85,84,38.5,44,32,18040781,0
52,30,356,14,26.5,16,45,67,4,77,53,14.5,24,15,1.01810713E7,0
52,31,612,19,52.5,29,67,144,10.5,106,91,25,40,28,1.82690322E7,0
52,32,502.5,26.5,63,26,72,124,19.5,61,41,34.5,16,19,1.12348366E7,0
52,33,42,2,3.6,2.3,9,6.2,2,6.5,3.9,3,1.9,1.6,934357.2,3
52,35,7,0.1,0.8,0.5,0.9,1.3,0.1,1.1,1.2,0.4,0.2,0.4,150626.7,1
53,26,225,3,6.5,9.5,24,24,2,44,59,2,46,5,7223588.7,0
53,27,713.5,20,48,26,79,106,10.5,118,165,20,87,34,2.35746976E7,0
53,28,961.5,26.5,57,43.5,137,170,13,151,192,42.5,98,31,2.69754857E7,0
53,29,810,36.5,56.5,36.5,127,160,20,119,132,51.5,48,23,2.24669876E7,0
53,30,992,30.5,109,54.5,147,213,25,130,133,72,38,40,2.44187707E7,0
53,31,571,16,61.5,33,71,136,10,88,63,31.5,23,38,1.73489704E7,0
53,32,517.5,25,57.5,42,97,142,20.5,42,16,64.5,3,8,1.19581822E7,0
53,33,6,0.3,0.6,0.5,1.3,1,0.2,0.6,0.5,0.6,0.1,0.3,125408.1,2
53,34,10,0.2,1.1,0.7,1.3,2,0.2,1.5,1.7,0.5,0.3,0.5,215181,2
