x,y,Ind,Ind_0_3,Ind_11_17,Ind_18_24,Ind_25_39,Ind_40_54,Ind_4_5,Ind_55_64,Ind_65_79,Ind_6_10,Ind_80p,Ind_inc,Ind_snv,imputed
0,69,2,0.1,0.1,0,0.3,0.4,0.1,0.3,0.3,0.1,0.2,0.1,43975.7,1
0,70,7,0.4,0.3,0.2,1.1,1.5,0.3,0.9,1.1,0.3,0.7,0.2,153914.9,1
0,82,7,0.1,1,0.5,0.9,2,0,1.1,0.6,0.7,0,0.1,157192.9,1
0,83,16,1.4,1.8,0.2,2.8,3.2,0.2,2.7,1.8,0.9,0.6,0.4,368756.8,1
0,84,57,3,2,6,8,13,0,9,7,2,5,2,1269745,0
0,85,50,1,3.5,2,11,10,1,9,5,3.5,3,1,1111963.5,0
0,86,4,0.3,0.5,0.1,0.7,0.8,0,0.7,0.5,0.2,0.1,0.1,92189.2,1
0,87,23,2,2.6,0.3,4.1,4.6,0.3,3.8,2.7,1.3,0.8,0.5,530087.9,1
0,88,4,0.1,0.3,0.2,0.3,0.7,0.1,0.9,0.7,0.2,0.2,0.3,105728.3,1
0,93,3,0.1,0.2,0.1,0.3,0.5,0.1,0.7,0.5,0.2,0.1,0.2,79296.2,1
0,103,35,1,1,1,3,10,1,3,9,3,3,0,667107.9,0
0,104,1,0,0.1,0.1,0.2,0.2,0,0.2,0.1,0,0.1,0,19359.3,1
0,105,6,0,0.6,0.7,0.9,1.2,0.2,1,0.7,0.1,0.5,0.1,116155.6,1
0,118,2,0.1,0.2,0.1,0.3,0.3,0,0.4,0.4,0.1,0.1,0,54090.9,1
0,123,4,0.2,0.5,0.1,0.9,0.5,0.1,0.3,0.7,0.3,0.3,0.1,83679.7,1
1,61,5,0,0.2,0.6,0.2,1.3,0,1.2,0.7,0.4,0.2,0.2,120911,1
1,63,10,0.4,0.3,0.5,1.8,1.8,0.3,1.8,2.3,0.3,0.5,0,227544.4,1
1,64,4,0.2,0.1,0.2,0.7,0.8,0.1,0.7,0.9,0.1,0.2,0,91017.7,1
1,65,17,0.7,0.4,0.9,3,3.1,0.6,3,3.9,0.6,0.8,0,386825.4,1
1,66,4,0.2,0.1,0.2,0.7,0.8,0.1,0.7,0.9,0.1,0.2,0,91017.7,1
1,67,2,0.1,0,0.1,0.3,0.4,0.1,0.3,0.5,0.1,0.1,0,45508.9,1
1,68,6,0.3,0.3,0.1,1,1.3,0.3,0.8,0.9,0.3,0.6,0.1,131927,1
1,69,5,0.3,0.2,0.1,0.8,1.1,0.2,0.7,0.8,0.2,0.5,0.1,109939.2,1
1,70,7,0.4,0.3,0.2,1.1,1.5,0.3,0.9,1.1,0.3,0.7,0.2,153914.9,1
1,71,6,0.3,0.3,0.1,1,1.3,0.3,0.8,0.9,0.3,0.6,0.1,131927,1
1,72,15,0.8,0.7,0.3,2.4,3.2,0.7,2,2.3,0.7,1.6,0.3,329817.6,1
1,73,3,0.1,0.2,0.1,0.9,0.4,0.2,0.5,0.3,0.3,0,0,43300.5,1
1,82,8,0.1,1.2,0.5,1.1,2.3,0,1.2,0.7,0.8,0,0.1,179649.1,1
1,83,15,1.3,1.7,0.2,2.7,3,0.2,2.5,1.7,0.9,0.5,0.3,345709.5,1
1,84,18,1.6,2.1,0.2,3.2,3.6,0.2,3,2.1,1,0.6,0.4,414851.4,1
1,85,33,3,3.5,0,8,5,1,7,2,0.5,1,2,757333.9,0
1,86,7,0.6,0.8,0.1,1.2,1.4,0.1,1.2,0.8,0.4,0.2,0.2,161331.1,1
1,88,7,0.2,0.6,0.3,0.6,1.2,0.2,1.6,1.2,0.4,0.3,0.4,185024.5,1
1,89,1,0,0.1,0,0.1,0.2,0,0.2,0.2,0.1,0,0.1,26432.1,1
1,103,4,0,0.4,0.5,0.6,0.8,0.1,0.6,0.5,0.1,0.3,0.1,77437,1
1,104,7,0,0.7,0.9,1,1.4,0.2,1.1,0.9,0.1,0.6,0.1,135514.8,1
1,105,6,0,0.6,0.7,0.9,1.2,0.2,1,0.7,0.1,0.5,0.1,116155.6,1
1,112,2,0,0.2,0.3,0,0.6,0,0.3,0.4,0,0.2,0,45708.8,1
1,116,7,0,0.6,1,0,2.1,0.2,1,1.3,0.2,0.6,0,159980.9,1
1,117,4,0,0.3,0.6,0,1.2,0.1,0.6,0.8,0.1,0.3,0,91417.7,1
1,121,1,0,0.1,0,0.2,0.2,0,0.2,0.2,0,0.1,0,27045.4,1
2,61,2,0,0.1,0.2,0.1,0.5,0,0.5,0.3,0.1,0.1,0.1,48364.4,1
2,62,15,0,0.7,1.7,0.7,3.8,0,3.5,2.1,1.1,0.7,0.7,362733.1,1
2,63,6,0.2,0.1,0.3,1.1,1.1,0.2,1.1,1.4,0.2,0.3,0,136526.6,1
2,64,17,0.7,0.4,0.9,3,3.1,0.6,3,3.9,0.6,0.8,0,386825.4,1
2,65,21,0.8,0.6,1.1,3.7,3.9,0.7,3.7,4.8,0.7,1,0,477843.2,1
2,66,6,0.2,0.1,0.3,1.1,1.1,0.2,1.1,1.4,0.2,0.3,0,136526.6,1
2,68,4,0.2,0.2,0.1,0.6,0.9,0.2,0.5,0.6,0.2,0.4,0.1,87951.4,1
2,70,18,1,0.9,0.3,2.9,3.9,0.8,2.4,2.7,0.9,1.9,0.3,395781.1,1
2,71,10,0.5,0.5,0.2,1.6,2.2,0.5,1.3,1.5,0.5,1,0.2,219878.4,1
2,72,11,0.6,0.5,0.2,1.8,2.4,0.5,1.5,1.7,0.5,1.1,0.2,241866.2,1
2,83,6,0.5,0.7,0.1,1.1,1.2,0.1,1,0.7,0.3,0.2,0.1,138283.8,1
2,84,10,0.9,1.1,0.1,1.8,2,0.1,1.7,1.2,0.6,0.3,0.2,230473,1
2,85,44,2,3,5,11,9,0,6,1,6,1,0,985197.2,0
2,86,31,0,0,2,2,11,2,3,7,2,2,0,778822.4,0
2,87,4,0.3,0.5,0.1,0.7,0.8,0,0.7,0.5,0.2,0.1,0.1,92189.2,1
2,105,2,0,0.2,0.2,0.3,0.4,0.1,0.3,0.3,0,0.2,0,38718.5,1
2,106,2,0,0.2,0.2,0.3,0.4,0.1,0.3,0.3,0,0.2,0,38718.5,1
2,124,2,0.1,0.2,0.1,0.4,0.2,0,0.2,0.4,0.1,0.2,0.1,41839.8,1
3,27,1,0,0,0.1,0.1,0.2,0,0.1,0.4,0,0.1,0,18823.7,1
3,42,2,0.1,0.1,0,0.4,0.3,0,0.7,0.1,0.2,0.1,0,44333.8,1
3,62,4,0,0.2,0.5,0.2,1,0,0.9,0.5,0.3,0.2,0.2,96728.8,1
3,63,9,0.3,0.2,0.5,1.6,1.7,0.3,1.6,2.1,0.3,0.4,0,204789.9,1
3,64,22,0.9,0.6,1.2,3.9,4,0.7,3.9,5.1,0.7,1,0,500597.6,1
3,65,12,0.5,0.3,0.6,2.1,2.2,0.4,2.1,2.8,0.4,0.6,0,273053.2,1
3,66,12,0.5,0.3,0.6,2.1,2.2,0.4,2.1,2.8,0.4,0.6,0,273053.2,1
3,70,6,0.3,0.3,0.1,1,1.3,0.3,0.8,0.9,0.3,0.6,0.1,131927,1
3,71,2,0.1,0.1,0,0.3,0.4,0.1,0.3,0.3,0.1,0.2,0.1,43975.7,1
3,72,2,0.1,0.1,0,0.3,0.4,0.1,0.3,0.3,0.1,0.2,0.1,43975.7,1
