x,y,NA,TOT,du,lr,r,sbu,sdu,uc,vlr
0,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,1
0,2,0,1,0,0,0,0,0,0,1
0,3,0,1,0,0,0,0,0,0,1
0,4,0,1,0,0,0,0,0,0,1
0,5,0,1,0,0,0,0,0,0,1
0,6,0,1,0,1,0,0,0,0,0
0,7,0,1,0,0,0,0,0,0,1
0,8,0,1,0,1,0,0,0,0,0
0,9,0,1,0,0,0,0,0,0,1
0,10,0,1,0,0,0,0,0,0,1
0,11,0,1,0,1,0,0,0,0,0
0,12,0,1,0,0,0,0,0,0,1
0,17,0,1,0,0,0,0,0,0,1
0,19,0,1,0,0,0,0,0,0,1
0,20,0,1,0,0,0,0,0,0,1
0,21,0,1,0,1,0,0,0,0,0
0,22,0,1,0,0,1,0,0,0,0
0,23,0,1,0,0,0,0,0,0,1
0,24,0,1,0,0,0,0,0,0,1
0,25,0,1,0,0,0,0,0,0,1
0,26,0,1,0,0,0,0,0,0,1
0,27,0,1,0,0,0,0,0,0,1
0,28,0,1,0,0,0,0,0,0,1
0,30,0,1,0,0,0,0,0,0,1
0,31,0,1,0,0,0,0,0,0,1
0,37,0,1,0,0,0,0,0,0,1
0,38,0,1,0,0,0,0,0,0,1
0,39,0,1,0,1,0,0,0,0,0
0,40,0,1,0,0,0,0,0,0,1
0,42,0,1,0,1,0,0,0,0,0
0,43,0,1,0,0,0,0,0,0,1
0,44,0,1,0,1,0,0,0,0,0
0,47,0,1,0,0,0,0,0,0,1
0,48,0,1,0,1,0,0,0,0,0
0,49,0,1,0,0,0,0,0,0,1
0,50,0,1,0,0,0,0,0,0,1
0,51,0,1,0,0,0,0,0,0,1
0,52,0,1,0,1,0,0,0,0,0
0,53,0,1,0,1,0,0,0,0,0
0,54,0,1,0,1,0,0,0,0,0
0,55,0,1,0,1,0,0,0,0,0
0,56,0,1,0,0,0,0,0,0,1
0,57,0,1,0,1,0,0,0,0,0
0,59,0,1,0,0,0,0,0,0,1
0,60,0,1,0,1,0,0,0,0,0
0,61,0,1,0,0,0,0,0,0,1
0,62,0,1,0,0,0,0,0,0,1
0,63,0,1,0,0,0,0,0,0,1
0,64,0,1,0,0,0,0,0,0,1
0,65,0,1,0,1,0,0,0,0,0
0,67,0,1,0,0,0,0,0,0,1
0,68,0,1,0,1,0,0,0,0,0
0,69,0,1,0,1,0,0,0,0,0
0,70,0,1,0,0,0,0,0,0,1
0,71,0,1,0,1,0,0,0,0,0
0,72,0,1,0,1,0,0,0,0,0
0,73,0,1,0,1,0,0,0,0,0
0,74,0,1,0,0,0,0,0,0,1
0,78,0,1,0,0,0,0,0,0,1
0,79,0,1,0,1,0,0,0,0,0
0,80,0,1,0,0,0,0,0,0,1
0,81,0,1,0,0,0,0,0,0,1
0,82,0,1,0,1,0,0,0,0,0
0,83,0,1,0,1,0,0,0,0,0
0,84,0,1,0,1,0,0,0,0,0
0,85,0,1,0,0,0,1,0,0,0
0,86,0,1,1,0,0,0,0,0,0
0,87,0,1,0,0,0,0,0,0,1
0,89,0,1,0,1,0,0,0,0,0
0,90,0,1,0,1,0,0,0,0,0
0,91,0,1,0,0,0,1,0,0,0
